Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
0,0,0,3,0,12,0,15,0,0,2,12,2,2,0,0,2,0,2,0,490,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,6,24
0,0,0,2,0,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,15,26
0,0,0,3,0,12,0,15,0,0,2,12,2,2,0,0,1,0,2,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,9,25
0,0,0,2,0,13,0,15,0,0,3,13,1,1,0,0,2,0,1,0,485,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,1,1,4,22
0,0,0,3,0,12,0,15,0,0,2,12,2,2,0,0,2,0,2,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,4,26
10,1,0,3,0,13,1,4,0,1,5,13,2,2,0,0,2,0,2,0,498,2,1,1,5,25,1,2,1,2,0,0,0,0,0,1,0,5,0,0,3,3,13,13,23,24
11,0,1,4,0,12,0,0,0,0,2,12,2,2,0,0,2,0,2,0,495,1,0,1,3,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,5,5,6,26
0,0,0,2,0,13,0,1,1,1,5,13,3,3,0,0,3,0,3,0,495,2,1,1,5,25,1,3,2,2,0,0,0,0,0,1,0,6,0,0,3,3,23,23,9,23
0,0,0,3,0,12,0,5,1,0,3,12,3,3,0,0,2,0,3,0,501,1,1,0,3,25,1,1,0,2,0,0,0,0,0,1,0,3,0,0,2,2,7,7,2,24
0,0,0,2,0,13,0,15,0,0,3,13,1,1,0,0,2,0,0,0,499,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,1,1,13,25
0,0,0,3,0,12,0,14,0,0,2,12,3,2,0,0,2,0,3,0,479,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,3,3,13,25
0,0,0,2,0,13,0,16,0,0,3,13,2,2,0,0,2,0,1,0,496,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,1,6,25
0,0,0,3,0,12,0,15,0,0,2,12,1,1,0,0,3,0,2,0,463,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,0,23
0,0,0,2,0,12,0,15,0,0,3,13,2,2,0,0,2,0,2,0,492,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,10,26
0,0,0,3,0,12,1,14,1,1,4,12,3,3,0,0,3,0,3,0,499,2,1,1,4,25,1,3,2,2,0,0,0,0,0,1,0,5,0,0,2,2,24,24,18,25
0,0,0,2,0,12,1,13,1,1,5,12,2,1,0,0,1,0,2,0,455,2,1,1,5,24,1,1,0,2,0,0,0,0,0,1,0,4,0,0,3,3,11,11,8,24
0,0,0,3,0,13,0,7,0,1,3,13,2,3,0,0,3,0,2,0,501,1,0,1,3,26,0,1,1,2,0,0,0,0,0,0,0,3,0,0,2,2,9,9,0,26
10,1,1,4,0,12,0,0,0,0,3,12,1,2,0,0,1,0,1,0,475,2,1,1,5,23,1,1,0,2,0,0,0,0,0,1,0,4,0,0,3,3,9,9,14,23
0,0,0,3,0,13,0,13,1,0,3,13,1,1,0,0,2,0,1,0,502,1,1,0,3,26,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,5,5,10,26
0,0,0,2,0,13,0,15,0,0,3,13,1,2,0,0,3,0,3,0,487,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,3,3,14,24
0,0,0,3,0,12,0,15,0,0,2,12,1,1,0,0,1,0,1,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,1,1,0,25
0,0,0,2,0,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,502,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,8,25
0,0,0,3,0,12,0,15,0,0,2,11,2,2,0,0,1,0,1,0,498,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,6,24
0,0,0,2,0,13,0,15,0,0,3,13,1,1,0,0,2,0,1,0,497,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,1,1,12,24
0,0,0,3,0,12,0,14,0,0,2,12,2,2,0,0,2,0,2,0,501,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,0,25
0,0,0,1,0,13,0,16,0,0,3,13,2,2,0,0,2,0,1,0,498,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,8,25
0,0,0,3,0,13,0,6,0,1,3,13,2,2,0,0,2,0,2,0,501,1,0,1,3,26,0,2,1,1,0,0,0,0,0,0,0,3,0,0,2,2,14,14,11,26
0,0,0,1,0,13,0,9,1,0,4,13,2,2,0,0,2,0,1,0,463,0,0,0,3,23,1,1,0,3,0,0,0,0,0,0,0,3,0,0,3,3,5,5,20,21
0,0,0,3,0,12,0,15,0,0,2,12,2,1,0,0,1,0,2,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,3,3,1,26
0,0,0,2,0,13,0,15,0,0,3,13,2,2,0,0,2,0,2,0,494,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,7,25
0,0,0,3,0,12,0,15,0,0,2,12,1,1,0,0,2,0,1,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,1,1,1,25
0,0,0,2,0,13,0,15,0,0,3,13,2,2,0,0,2,0,1,0,502,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,16,25
0,0,0,3,0,12,0,15,0,0,2,12,2,2,0,0,1,0,1,0,460,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,1,26
0,0,0,2,0,11,0,13,0,1,4,11,2,1,0,0,2,0,2,0,480,0,0,0,3,23,0,1,0,2,0,0,0,0,0,1,0,4,0,0,3,3,4,4,9,23
