Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,1,1,0,0,0,0,2,0,1,0,500,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,1,1,4,26,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,2,0,2,0,478,0,0,0,2,24,0,1,1,1,0,0,0,0,0,0,0,4,0,0,3,3,9,9,10,25,0
0,0,0,0,3,0,0,0,0,12,1,14,1,1,6,12,2,2,0,0,0,0,2,0,2,0,495,2,1,1,4,24,1,1,0,3,0,0,0,0,1,0,0,3,0,0,2,2,11,11,12,23,0
0,0,0,0,2,0,0,0,0,13,0,15,0,0,2,13,2,2,0,0,0,0,2,0,2,0,492,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,3,3,15,26,0
0,0,0,0,3,0,0,0,0,12,0,14,0,0,3,12,2,2,0,0,0,0,1,0,2,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,24,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,1,2,0,0,0,0,2,0,2,0,484,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,9,25,0
0,0,0,0,3,0,0,0,0,13,0,16,0,0,3,13,1,1,0,0,0,0,2,0,1,0,502,0,0,0,2,24,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,1,1,2,24,0
0,0,0,0,2,0,0,0,0,13,0,15,0,0,2,13,1,2,0,0,0,0,2,0,2,0,488,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,8,26,0
0,0,0,0,3,0,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,0,2,0,2,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,25,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,3,3,0,0,0,0,2,0,2,0,494,0,0,0,2,24,0,1,1,2,0,0,0,0,0,0,0,4,0,0,3,3,12,12,10,24,0
0,0,0,0,3,0,0,0,0,13,1,15,1,1,6,13,2,2,0,0,0,0,3,0,2,0,488,2,1,1,5,26,1,2,1,1,0,0,0,0,1,0,0,4,0,0,2,2,19,19,7,26,0
1,7,2,1,6,0,0,0,0,12,2,5,1,2,7,12,2,1,0,0,0,0,2,0,2,0,474,6,3,3,8,24,3,5,2,3,0,0,0,0,3,0,0,8,0,0,3,3,35,35,21,24,0
0,15,0,0,3,0,0,0,0,13,0,0,0,0,3,13,2,1,0,0,0,0,1,0,2,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,15,24,0
1,14,1,1,5,0,0,0,0,13,0,0,0,0,2,13,1,2,0,0,0,0,2,0,1,0,488,2,1,1,5,26,1,2,1,2,0,0,0,0,1,0,0,5,0,0,3,3,14,15,15,26,0
0,4,0,1,4,0,0,0,0,12,0,9,1,0,4,12,2,2,0,0,0,0,2,0,1,0,485,2,1,1,5,24,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,9,9,4,24,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,2,0,1,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,2,2,6,25,0
0,0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,2,0,500,0,0,0,3,26,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,4,4,10,26,0
0,0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,2,0,2,0,467,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,3,3,9,23,0
0,3,1,0,4,0,0,0,0,13,1,10,0,1,5,13,2,1,0,0,0,0,1,0,2,0,498,2,1,1,5,24,1,4,2,2,0,0,0,0,1,0,0,5,0,0,2,2,22,22,12,24,0
